06-Aug-2020 (22:33:13): Epoch: [1][140/468]	Time 0.049 (0.049)	Data 0.002 (0.002)	Loss 1.5590 (1.5712)	Acc@1 51.562 (44.265) Acc@5 90.625 (89.123)	
06-Aug-2020 (22:33:14): Epoch: [1][150/468]	Time 0.049 (0.049)	Data 0.002 (0.002)	Loss 1.5318 (1.5709)	Acc@1 49.219 (44.257) Acc@5 87.500 (89.130)	
06-Aug-2020 (22:33:15): Epoch: [1][160/468]	Time 0.049 (0.049)	Data 0.001 (0.002)	Loss 1.4084 (1.5705)	Acc@1 50.000 (44.274) Acc@5 93.750 (89.126)	
06-Aug-2020 (22:33:15): Epoch: [1][170/468]	Time 0.049 (0.049)	Data 0.002 (0.002)	Loss 1.5486 (1.5719)	Acc@1 46.094 (44.152) Acc@5 90.625 (89.094)	
06-Aug-2020 (22:33:16): Epoch: [1][180/468]	Time 0.049 (0.050)	Data 0.002 (0.002)	Loss 1.4236 (1.5732)	Acc@1 48.438 (44.005) Acc@5 95.312 (89.196)	
06-Aug-2020 (22:33:16): Epoch: [1][190/468]	Time 0.050 (0.050)	Data 0.001 (0.002)	Loss 1.5321 (1.5741)	Acc@1 47.656 (44.069) Acc@5 89.062 (89.169)	
06-Aug-2020 (22:33:17): Epoch: [1][200/468]	Time 0.049 (0.050)	Data 0.002 (0.002)	Loss 1.6183 (1.5757)	Acc@1 43.750 (44.003) Acc@5 85.938 (89.109)	
06-Aug-2020 (22:33:17): Epoch: [1][210/468]	Time 0.039 (0.050)	Data 0.002 (0.002)	Loss 1.8051 (1.5755)	Acc@1 35.156 (44.080) Acc@5 80.469 (89.051)	
06-Aug-2020 (22:33:18): Epoch: [1][220/468]	Time 0.049 (0.050)	Data 0.002 (0.002)	Loss 1.6212 (1.5756)	Acc@1 38.281 (44.033) Acc@5 88.281 (89.027)	
06-Aug-2020 (22:33:18): Epoch: [1][230/468]	Time 0.049 (0.050)	Data 0.002 (0.002)	Loss 1.4739 (1.5748)	Acc@1 51.562 (44.065) Acc@5 90.625 (89.032)	
06-Aug-2020 (22:33:19): Epoch: [1][240/468]	Time 0.049 (0.050)	Data 0.002 (0.002)	Loss 1.6008 (1.5752)	Acc@1 43.750 (44.032) Acc@5 89.844 (88.959)	
06-Aug-2020 (22:33:19): Epoch: [1][250/468]	Time 0.049 (0.050)	Data 0.002 (0.002)	Loss 1.6146 (1.5763)	Acc@1 36.719 (43.974) Acc@5 86.719 (88.913)	
06-Aug-2020 (22:33:20): Epoch: [1][260/468]	Time 0.049 (0.050)	Data 0.002 (0.002)	Loss 1.7671 (1.5764)	Acc@1 39.062 (43.977) Acc@5 88.281 (88.949)	
06-Aug-2020 (22:33:20): Epoch: [1][270/468]	Time 0.049 (0.050)	Data 0.002 (0.002)	Loss 1.5550 (1.5755)	Acc@1 43.750 (43.978) Acc@5 89.844 (88.964)	
06-Aug-2020 (22:33:21): Epoch: [1][280/468]	Time 0.049 (0.050)	Data 0.002 (0.002)	Loss 1.4983 (1.5757)	Acc@1 42.188 (43.950) Acc@5 92.969 (88.929)	
06-Aug-2020 (22:33:21): Epoch: [1][290/468]	Time 0.049 (0.050)	Data 0.002 (0.002)	Loss 1.5278 (1.5741)	Acc@1 46.875 (43.992) Acc@5 91.406 (88.977)	
06-Aug-2020 (22:33:22): Epoch: [1][300/468]	Time 0.050 (0.050)	Data 0.002 (0.002)	Loss 1.6911 (1.5727)	Acc@1 42.188 (44.002) Acc@5 85.156 (89.003)	
06-Aug-2020 (22:33:22): Epoch: [1][310/468]	Time 0.039 (0.050)	Data 0.002 (0.002)	Loss 1.4666 (1.5714)	Acc@1 52.344 (44.089) Acc@5 89.062 (89.010)	
06-Aug-2020 (22:33:22): Epoch: [1][320/468]	Time 0.051 (0.050)	Data 0.002 (0.002)	Loss 1.5956 (1.5712)	Acc@1 42.188 (44.062) Acc@5 89.062 (89.055)	
06-Aug-2020 (22:33:23): Epoch: [1][330/468]	Time 0.052 (0.050)	Data 0.002 (0.002)	Loss 1.5353 (1.5715)	Acc@1 44.531 (44.005) Acc@5 89.062 (89.022)	
06-Aug-2020 (22:33:23): Epoch: [1][340/468]	Time 0.051 (0.050)	Data 0.002 (0.002)	Loss 1.4941 (1.5715)	Acc@1 43.750 (43.968) Acc@5 92.969 (89.074)	
06-Aug-2020 (22:33:24): Epoch: [1][350/468]	Time 0.052 (0.050)	Data 0.002 (0.002)	Loss 1.6447 (1.5721)	Acc@1 38.281 (43.926) Acc@5 87.500 (89.054)	
06-Aug-2020 (22:33:25): Epoch: [1][360/468]	Time 0.051 (0.050)	Data 0.002 (0.002)	Loss 1.6012 (1.5710)	Acc@1 38.281 (44.023) Acc@5 92.188 (89.050)	
06-Aug-2020 (22:33:25): Epoch: [1][370/468]	Time 0.051 (0.050)	Data 0.002 (0.002)	Loss 1.4507 (1.5709)	Acc@1 50.781 (44.013) Acc@5 92.969 (89.052)	
06-Aug-2020 (22:33:26): Epoch: [1][380/468]	Time 0.052 (0.050)	Data 0.002 (0.002)	Loss 1.6153 (1.5711)	Acc@1 44.531 (44.006) Acc@5 87.500 (89.071)	
06-Aug-2020 (22:33:26): Epoch: [1][390/468]	Time 0.052 (0.050)	Data 0.002 (0.002)	Loss 1.4501 (1.5705)	Acc@1 44.531 (44.034) Acc@5 94.531 (89.094)	
06-Aug-2020 (22:33:27): Epoch: [1][400/468]	Time 0.052 (0.050)	Data 0.002 (0.002)	Loss 1.6079 (1.5698)	Acc@1 41.406 (44.023) Acc@5 89.062 (89.129)	
06-Aug-2020 (22:33:27): Epoch: [1][410/468]	Time 0.052 (0.050)	Data 0.002 (0.002)	Loss 1.6019 (1.5698)	Acc@1 43.750 (43.984) Acc@5 88.281 (89.108)	
06-Aug-2020 (22:33:28): Epoch: [1][420/468]	Time 0.051 (0.050)	Data 0.002 (0.002)	Loss 1.5264 (1.5700)	Acc@1 43.750 (43.950) Acc@5 92.188 (89.114)	
06-Aug-2020 (22:33:28): Epoch: [1][430/468]	Time 0.052 (0.050)	Data 0.002 (0.002)	Loss 1.4727 (1.5698)	Acc@1 48.438 (43.946) Acc@5 92.969 (89.120)	
06-Aug-2020 (22:33:29): Epoch: [1][440/468]	Time 0.051 (0.050)	Data 0.002 (0.002)	Loss 1.5470 (1.5689)	Acc@1 38.281 (43.963) Acc@5 95.312 (89.160)	
06-Aug-2020 (22:33:29): Epoch: [1][450/468]	Time 0.051 (0.050)	Data 0.002 (0.002)	Loss 1.6166 (1.5685)	Acc@1 41.406 (43.996) Acc@5 89.062 (89.184)	
06-Aug-2020 (22:33:30): Epoch: [1][460/468]	Time 0.052 (0.050)	Data 0.002 (0.002)	Loss 1.5094 (1.5682)	Acc@1 45.312 (43.991) Acc@5 91.406 (89.203)	
06-Aug-2020 (22:33:35): 
06-Aug-2020 (22:33:35):Test set: Average loss: 1.8554, Accuracy: 3484/10000 (34.840%)
06-Aug-2020 (22:33:35):
06-Aug-2020 (22:33:35): Epoch: [2][0/468]	Time 0.113 (0.113)	Data 0.070 (0.070)	Loss 1.4792 (1.4792)	Acc@1 53.906 (53.906) Acc@5 91.406 (91.406)	
06-Aug-2020 (22:33:35): Epoch: [2][10/468]	Time 0.047 (0.053)	Data 0.002 (0.008)	Loss 1.5563 (1.5728)	Acc@1 46.094 (44.602) Acc@5 87.500 (89.062)	
06-Aug-2020 (22:33:36): Epoch: [2][20/468]	Time 0.036 (0.050)	Data 0.002 (0.005)	Loss 1.5286 (1.5817)	Acc@1 46.094 (43.824) Acc@5 88.281 (88.356)	
06-Aug-2020 (22:33:36): Epoch: [2][30/468]	Time 0.046 (0.046)	Data 0.002 (0.004)	Loss 1.5208 (1.5634)	Acc@1 48.438 (45.287) Acc@5 88.281 (88.760)	
06-Aug-2020 (22:33:37): Epoch: [2][40/468]	Time 0.051 (0.047)	Data 0.002 (0.004)	Loss 1.5682 (1.5577)	Acc@1 42.969 (45.122) Acc@5 92.188 (88.777)	
06-Aug-2020 (22:33:37): Epoch: [2][50/468]	Time 0.052 (0.048)	Data 0.002 (0.003)	Loss 1.5531 (1.5590)	Acc@1 42.188 (44.608) Acc@5 90.625 (89.017)	
06-Aug-2020 (22:33:38): Epoch: [2][60/468]	Time 0.051 (0.049)	Data 0.002 (0.003)	Loss 1.4996 (1.5582)	Acc@1 48.438 (44.506) Acc@5 88.281 (89.127)	
06-Aug-2020 (22:33:38): Epoch: [2][70/468]	Time 0.052 (0.049)	Data 0.002 (0.003)	Loss 1.5817 (1.5604)	Acc@1 43.750 (44.300) Acc@5 92.969 (89.349)	
